순서,리뷰
1884,"오래사용한 전자레인지를 버리고 이 광파오븐을 구입하게 되었어요 레인지,오븐,에어프라이 기능도 다 되는것이 좋아서 이광파오븐을 선택 구입한지는 좀 되었는데 이제야 리뷰를 쓰게 되었네요 오븐사용은 넘만족 합니다 생선구이 하는데도 기름 튀는것도 없어서 좋았고 샹선이 노릇노릇하게 익어서 나오니 맛도 좋아요 아직 까지는 많은 기능을 사용하지는 않았지만 앞으로 잘 사용하고 오랫동안 쓰기를 바랍니다"
1885,"전자레인지, 오븐, 에어프라이기
하나로 간편하게 사용할 수 있어요~!"
1886,"엄청 쎄서 전자레인지 사용시 엄청 금방되고
에어프라이 기능은 쪼꼼 약해서 시간을 조금더 들여서 해야해요 ㅋㅋ 전자레인지로 사용하면 정말 모든음식 생각보다 덜 돌려도 되서 넘넘 좋아요"
1887,"오븐 에어프라이도 같이되는 제품을 찾다 구매했네요
오브제여서 이쁜건 당연하고 성능도 나쁘지 않습니다"
1888,광파오븐이랑 전자레인지 한번에 써요
1889,색상도 이쁘고 사용법도 편한데 살짝 크긴해요
1890,"와이프.적극 추천
아주 잘 사용중이에요 최고"
1891,전자렌지와 에어프라이기 및 오븐의 복합이여서 구매했네요. 저희집은 전자렌지 사용 중심이라서 회전가열이 더욱 좋은 것 같습니다. 부피는 다소 크지만 사용용도에 따라 잘 맞춰 사용하시면 촤고의 기쁨을 느끼실꺼에요!
1892,"다방면에서 활용할 수 있고, 디자인도 예쁜 광파오븐! 실사용은 전자렌지 기능과 에어프라이어 외에는 사용하진 않았지만 집에서 요리할 기분을 내게 해주는 유용한 제품이에요!"
1893,통합기능으로 자리공간 많이 차지하지 않아서 너무 좋아요
1894,"디자인도 이쁘고
성능도 좋아서
주변에 추천해주고 있어요"
1895,내부가 넓어서 한번에 많은 양을 할 수 있네요. 에어프라이어 스탠드 발열팬 사용하니 잘 되네요.
1896,너무 만족해요 디자인과 성능 모두 만족하고 기사님들도 친절하셨어요 상품 추천해요
1897,짧은시간에 강력하네요
1898,레인지 오븐 에어프라이 모두 되는 광파오븐이라 좋고 자주사용하는데 잘 사용하고 있습니다 추천해요
1899,"베이지 색이라 마음에 들어요!
전자렌지용으로 주로 쓰고 있어요.
에어프라이 기능은 일반 에어프라이어 보다는 좀 부족한 것 같아요. 그래서 따로 쓰고 있습니다.
오븐도 일반 오븐 보다는 조금 부족하지만 간단한 베이킹은 다 가능합니다."
1900,기존 전자레인지 제거하고 새로 구입했어요. 맘같아선 더 큰 제품 사고 싶었지만 용량도 그렇고 기능도 그렇고 더욱이 키친수납장엔 딱인듯 합니다. 더불어 동사 빌트인 냉장고하고 어울리기도 하구요.
1901,"전자렌지, 에어플라이어, 오븐 기능까지
3가 기능을 다 이용할수있어서 정했어요.
각각 두려면 공간도 많이 필요한데
이 모든걸 해결해준 최애제품♡"
1902,"맞벌이로 살다보니
요리할 시간이 많지않은데
다양한 음식 데워먹기 편리하고 좋습니다!

추천합니다!!"
1903,다양한 기능으로 여러 음식 조리해 먹기 정말 좋아요!
1904,렌지보다 기능도 다양하고 편하게 잘쓰고 있어요.계란삶는것도 너무 편하고 쫄깃하게 잘삶아집니다
1905,"급하게 구매 해서 잘 삿는지 많이 걱정과 고민이 됐지만
막상 사용하니 너무 편리하고
잘 사용하고 있어요"
1906,사용하기 편하고 좋아요
1907,"원래 전자레인지를 구매하려다가
전자레인지, 오븐, 에어프라이기 기능이 있어서
굳이 따로 여러개 살 필요없이 이거 하나만 구매했네요.
ThinQ에서 200W, 400W, 700W, 900W, 1100W
출력 조절이 가능한데 너무 신기하네요!
5가지 부속품도 같이 줘서 너무 좋습니다!ㅎㅎ"
1908,"와우, LG 디오스 광파오븐은 진짜 스타일리시해요! 😍 슬림하고 모던한 디자인으로 주방이 한층 더 예뻐졌어요. 색상도 너무 고급지고, 어디에 두어도 딱 맞아요! 그리고 터치스크린이 너무 반응이 좋고, 사용하기 쉬워서 좋아요. 다양한 자동 요리 프로그램이 있어서 뭐 해먹을지 고민할 필요 없이 선택만 하면 돼요. 🍰"
1909,에어프라이 치우고 이걸로 다 쓸수 있어 좋아요 ㅎㅎ
1910,"거의 전자레인지용으로 써요.
설명서 안 읽고, 오븐이나 에어프라이기 쓰면 안됩니다. 꼭 숙지해야하는 가전이에요.
예열후 음식 넣으려고하면 자꾸 쿨링을 하는 통에 첨에 엄청 헤맸어요."
1911,엄청 편리합니다.
1912,너무너무 좋습니다 너무 예뻐요 잘쓸게요!!
1913,기존 전자렌지보다 좀 쎈 것 같아요 잘 쓰고 있어요
1914,"베이지 디자인 좋아요
전자렌지 에프 오븐까지되니
좋습니다"
1915,여러 제품중 고민하다 저에게 맞는 기능인 것 같아 주문했어요 ! 옆에 냉장고랑 나란히 놓으니 넘 이쁘네요 ㅎ 컬러도 잘 맞고 오자마자 냉동실에 있는 치킨 에프해서 먹었는데 양념이였는데도 바삭하니 맛있고 감튀도 잘 튀겨져요 ^^
1916,메뉴선택 및 시간선택이 간편하고 에어프라이어 기능있어서 좋아요.
1917,청소두 편하근 성능강하구 좋아요
1918,"깔끔 그자체.
사용하기 편하고 이뻐요"
1919,전자레인지로 쓰기에도 고출력 이어서 성능이 아주 마음에 들어요. 오븐으로 쓰기에도 좋고요. 사이즈가 괜찮아서 이 제품으로 선택했어요. 컬러도 오브제 라인이라 아주 예쁩니다. 만족해요
1920,"디자인 깔끔하고 내부 공간 넓어서 좋아요. 아직 뷰가기능들을 잘 활용하지는 못하지만 에어프라이와 오븐, 레인지 기능이 함께있어서 좋습니다."
1921,"계획에 없던 구매인데 너무 잘 쓰고 있어요.
진지한 요리는 하지 않아 성능 기능 모두 대만족이요."
1922,디자인도 너무 이쁘고 오븐 기능 및 해동 기능 등 너무 만족하게 쓰고 있어요~
1923,"이사하면서 전자레인지를 바꾸려고 알아보던중
베스트샵 방문해서 여러가지묶어서 주문하다가
가격혜택이좋아서 광파오븐으로 사게되었어요^^
일단용량이크니까 조으네요♡♡

기능도많고 너무좋아요~~
디자인도 넘나이쁜것♡"
1924,"렌지,에어프라이기 등 다양한 기능이 있어 좋습니다!"
1925,에어프라이어랑 오븐이 필요해서 구매했는데 여러기능이 있어 사용하기 좋아요
1926,"용량이 크고 다양한 기능이 있어서 사용하기에 편리합니다. 집안의 인테리어와도 잘 어울리고 깔끔한 외형이라 주방 보이는 곳에 놓고 사용해도 좋네요. 앱으로 연동해서 음식을 조리할 수 있어서 편리하다는 점도 매우 좋습니다. 다만, 크기가 좀 커서 공간을 꽤 차지하는 점은 아쉽기도 합니다."
1927,라주 만족합니다.~~~
1928,"개인적으로 완전화이트를원했지만 화이트색상은 아니고 상아색? 아이보리빛? 색상과 비슷합니다~
예뻐요 사실 아직 오븐으로는 사용은안해봤으나 만족합니다"
1929,"주로 전자레인지 용도로 사용하는데,
가정용으로는 충분하네요.

디자인도 깔끔해서 인테리어도 화사해져서
매우 만족합니다.

규격"
1930,다양한 기능이 있어서 너무 좋고 디자인도 이뻐요 역시 가전은 엘지!
1931,신혼집에 광파오븐 설치 했습니다. 전자레인지와 에어프라이어 기능도 있어서 너무 기대되요!
1932,와이프가 요리하는 걸 좋아해서 전자제품 구매할때 같이 구매한 광파오븐입니다. 오븐 전자레인지 에어프라이기까지 3가지 기능을 모두 사용할 수 있어서 너무 편리합니다. 디자인도 예쁘고 씽큐 연결해서 업가전으로 사용하면 더 기능이 많아서 좋습니다! 완전추천
1933,"인테리어랑도 어울리고 색상이뻐서 좋아요
다만 초반에 타탁타닥 소리났는데 그이후엔 나지 않았지만 뭔가 불안하네요! 아직까진 잘쓰고있어요"
1934,"광파오븐 잘쓰고있습니다. 파워도 좋고 사용성도 편리하고 다만 에어프라이어나, 오븐사용할떄 별도 트레이를 사용해야하다보니 불편한감이 좀 있네요ㅠ 나머지는 다 만족합니다."
1935,오븐에 전자레인지 에어프라이어기능까지 만능입니다 디자인도너무예뻐요 잘쓰고있습니다
1936,"좋아요!!
어플로 레시피 검색까지다되고
에어프라이기까지있고
찜만두도 잘돌려먹고있습니다!"
1937,"음식이 맛있게 조리되고, 에어프라이기능이 아주잘되서 좋아요."
1938,"디자인과 성능, 배송 모두 만족합니다.
전자레인지 겸용으로 사용하며 에어프라이어, 오븐기능까지 되어 너무 좋습니다."
1939,"정말 잘 사용하고있어요
전자레인지, 에어프라이기, 오븐 겸용이라 좋습니다"
1940,"전자레인지,오븐,에어프라이어 기능 모두 이용할 수 있어 좋아요"
1941,Fcsvhbxscc
1942,배송도 빠르고 배송 기사분도 친철하게 설명해주었고 디자인이 좋습니다
1943,너무 잘 사용하고있습니다! 만족합니다! 첨엔 베이지로 컬러 선택하길 너무 잘했어요! 디자인이 깔끔합니다. 에어프라이기능 및 찜 제빵 기능들도 좋고 특히 더욱 좋은건 어플로 LG 가전기기가 다 연결되어서 알람이뜨는게 넘 좋아요!
1944,3가지를 한 가전에 사용할수 있어서 좋아요
1945,원래는 전자레인지 구매했으나 마지막 매장 결재에서 광파오븐으로 변경했어요. 전자레인지 보다는 여러기능들이 있지만 사실 데우는 기능외에 별로 사용하진 않아요. 그치만 디자인도 구매요건에 한 몫 하는건 사실이니깐요. 앞으로는 다른 기능도 하나하나 사용해 봐야겠지요~^^
1946,"전자렌지하고 광파오븐하고 고민많이하다가
광파오븐했는데 잘선택한것같아요~
이거저거 요리해볼수있고 해동이나 데우는 시간이
단축된것같아요 굿굿!! 디자인도 예쁘네요"
1947,"전에 쓰던 광파오븐보다 터치해서쓰긴 좀 서툴러요
폰으로 자꾸 하게되요"
1948,이 기계의 제일 장점은 세기를 조절할 수있어서 제일 좋은거 같아요! 그리고 다이얼 돌리면서 시간 저절하는것도 참좋아요! 아 어븐이나 에어프라이어를 따로 준비안해서 너무 좋아요
1949,"디자인 너무 예뻐요
기능도 다양해서 좋아요"
1950,"공간활용 너무 좋습니다
오븐ㆍ레인지ㆍ에어프라이어 다 합쳐져있으니
사용편하구요(설명서 한번 읽어보시면)
많이 뜨거워진다는분들 계시든데
Cool기능 있으니 좋아요
오븐 ㆍ에어프라이어 20분이상 돌려도
걱정할만큼 뜨겁지 않더라구요
아주 만족합니다!!!"
1951,"오브제 오븐 사용한지 14개월 되었어요 디자인 이쁘고 특히 문이 글라스라서 칼라가 영롱해서 다양하고 미묘한 칼라 차이가 있어요 조명따라 낮이냐 밤이냐에 따라서요 그래서인지 빌트인 냉장고 칼라랑 칼라가 달라도 멋스럽게 어울려요 기능적인 면에서는 오븐기능을 다양하게 안 써봐서 특별히 불편하다 좋다 평하기 어려워요 단지 에어프라이어 기능은 두번 사용해 봤는데 그닥 성능이 좋지는 않았어요 집에서 사용중인 순수 에어프라이기랑 비교시 아니다 싶어서 그 후로에어프라이어 기능은 안써봤어요,저는 이 오븐살때 디자인과 전자렌지 기능 오븐기능에 중점두어 선택했는데 탁월한 선택이라 대만족하며 사용중입니다"
1952,좋아요 자리 차지하는게 싫어서 샀는데 기능 좋습니다ㅎㅎ생선구워먹어도 냄새도 안배고 넘 좋아요 디자인도 집에 딱어울려서 맘에 들어요~
1953,특히 요알못인데 레시피 선택하기로 왠만한 요릴 다 하구 있어요 정말 좋아요 ㅠㅠ
1954,"전자렌지 기능만 있는걸 살까 하다가 세가지 기능이 있는게 좋을껏 같아서 구매했습니다.
아직 요리는 많이 안해봤지만 , 군고구마 오븐 기능을 사용했는데 너무 맛있게 되더군요.
쿨링하는데 소음이 나지만, 그것만 빼고 디자인이나 레시피 메뉴 찾기 등
유용한 기능이 많아 좋네요."
1955,"이거 없었으면...
맞벌이 신혼부부의 3끼 식사 어떻게 했을까 싶습니다.

특히 에어프라이어 기능 전자레인지 기능 많이 쓰고 있습니다.

전 날 밤 먹다 남은 치킨을 바삭하게 또 먹을 수 있어 행복합니다."
1956,"평소 사고싶었었는데 이번에 세일해서 구입했어요. 오늘 배송받고 이것저것 해봤는데 잘되네요. 모양도 너무 컴팩트하고 예뻐요. 배송기사님도 친절하시구요.
엘지가전은 늘 만족합니다."
1957,디자인 너무 예쁘고 싱큐 연동 편해요
1958,"전자렌지, 오븐 기능 모두 만족합니다.
ThinkQ로 제어가능해서 너무 편해요"
1959,매장에서 본 것 보다 집에서 보니 제품이 상당히 크네요.. 자리 차지는 좀 하지만 디자인도 예쁘고 예전에 사용하던 제품 보다 음식이 빨리 조리되어서 너무 편하고 좋아요.
1960,듬직하니 좋아요 아직 렌지기능만 사용해봤지만 무척 기대되네요
1961,이거 하나있으면 요리 만능이에요! 오븐중 디자인도 제일 예뻐요
1962,엄청 좋아요 일단 기능이 합쳐져서 여러 제품을 둘 필요가 없단 점이 제일 좋네요!
1963,"신혼가전 lg에서 구매하고 받은 포인트로 오븐 구매했어용!
기존에 에프를 갖고 있어서 전자레인지로 구매하려고 했는데요
자리차지도 너무 해서 에프 본가에 주고 광파오븐으로 알아보게 되었어요
더 비싼 라인의 광파오븐도 많았는데
담당자분이 이 제품도 좋다고 추천해주셔서
합리적인 가격으로 구매했어요
거의 전자레인지, 에프용으로 쓰고 있는데
오븐기능도 사용해봐야겠어요!
lg씽크앱으로 레시피 오븐전송해서 하면 요리도 간편하고 너무 좋네요"
